,ClosestCountries5,ClosestCountries10,ClosestCountries30
nan_Afghanistan,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates|nan_Oman|nan_Qatar|nan_Bahrain|nan_Kazakhstan|nan_Kuwait,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates|nan_Oman|nan_Qatar|nan_Bahrain|nan_Kazakhstan|nan_Kuwait|nan_Azerbaijan|nan_India|nan_Nepal|nan_Armenia|nan_Iraq|Xinjiang_China|nan_Georgia|Tibet_China|nan_Saudi Arabia|nan_Syria|nan_Bhutan|nan_Yemen|nan_Bangladesh|nan_Jordan|nan_Lebanon|nan_Turkey|nan_West Bank and Gaza|nan_Israel|Qinghai_China|nan_Cyprus
nan_Burkina Faso,nan_Togo|nan_Ghana|nan_Benin|nan_Mali|nan_Cote d'Ivoire,nan_Togo|nan_Ghana|nan_Benin|nan_Mali|nan_Cote d'Ivoire|nan_Guinea|nan_Liberia|Veteran Hospitals_US|US Military_US|Federal Bureau of Prisons_US,nan_Togo|nan_Ghana|nan_Benin|nan_Mali|nan_Cote d'Ivoire|nan_Guinea|nan_Liberia|Veteran Hospitals_US|US Military_US|Federal Bureau of Prisons_US|nan_Nigeria|nan_Sierra Leone|nan_Niger|Louisiana_US|District of Columbia_US|Kansas_US|Iowa_US|Indiana_US|Illinois_US|Idaho_US|Hawaii_US|Florida_US|Maine_US|Kentucky_US|Arkansas_US|Connecticut_US|Colorado_US|California_US|Maryland_US|Arizona_US
nan_Cabo Verde,nan_Gambia|nan_Senegal|nan_Guinea-Bissau|nan_Western Sahara|nan_Sierra Leone,nan_Gambia|nan_Senegal|nan_Guinea-Bissau|nan_Western Sahara|nan_Sierra Leone|nan_Guinea|nan_Liberia|nan_Mali|nan_Cote d'Ivoire|nan_Morocco,nan_Gambia|nan_Senegal|nan_Guinea-Bissau|nan_Western Sahara|nan_Sierra Leone|nan_Guinea|nan_Liberia|nan_Mali|nan_Cote d'Ivoire|nan_Morocco|nan_Burkina Faso|nan_Ghana|Veteran Hospitals_US|Federal Bureau of Prisons_US|US Military_US|nan_Togo|Gibraltar_United Kingdom|nan_Algeria|nan_Benin|nan_Portugal|Louisiana_US|Florida_US|Georgia_US|Hawaii_US|Indiana_US|Illinois_US|Kentucky_US|Iowa_US|Idaho_US|Kansas_US
nan_Cambodia,nan_Thailand|nan_Vietnam|nan_Laos|Hainan_China|nan_Singapore,nan_Thailand|nan_Vietnam|nan_Laos|Hainan_China|nan_Singapore|nan_Malaysia|nan_Brunei|Guangxi_China|Macau_China|nan_Burma,nan_Thailand|nan_Vietnam|nan_Laos|Hainan_China|nan_Singapore|nan_Malaysia|nan_Brunei|Guangxi_China|Macau_China|nan_Burma|Yunnan_China|Hong Kong_China|Guangdong_China|nan_Indonesia|Guizhou_China|nan_Philippines|Hunan_China|nan_Bangladesh|Chongqing_China|Jiangxi_China|Fujian_China|Sichuan_China|nan_Taiwan*|Hubei_China|nan_Bhutan|Zhejiang_China|Anhui_China|Henan_China|Shaanxi_China|nan_Sri Lanka
nan_Cameroon,nan_Equatorial Guinea|nan_Gabon|nan_Nigeria|nan_Sao Tome and Principe|nan_Central African Republic,nan_Equatorial Guinea|nan_Gabon|nan_Nigeria|nan_Sao Tome and Principe|nan_Central African Republic|nan_Benin|nan_Togo|Iowa_US|Kansas_US|Kentucky_US,nan_Equatorial Guinea|nan_Gabon|nan_Nigeria|nan_Sao Tome and Principe|nan_Central African Republic|nan_Benin|nan_Togo|Iowa_US|Kansas_US|Kentucky_US|Massachusetts_US|Maine_US|Maryland_US|Michigan_US|Minnesota_US|Louisiana_US|Indiana_US|Idaho_US|Mississippi_US|Hawaii_US|Georgia_US|Florida_US|District of Columbia_US|Delaware_US|Connecticut_US|Colorado_US|California_US|Arkansas_US|Arizona_US|Alaska_US
Alberta_Canada,Saskatchewan_Canada|British Columbia_Canada|Manitoba_Canada|Northwest Territories_Canada|Utah_US,Saskatchewan_Canada|British Columbia_Canada|Manitoba_Canada|Northwest Territories_Canada|Utah_US|Yukon_Canada|Grand Princess_Canada|Ontario_Canada|nan_US|Quebec_Canada,Saskatchewan_Canada|British Columbia_Canada|Manitoba_Canada|Northwest Territories_Canada|Utah_US|Yukon_Canada|Grand Princess_Canada|Ontario_Canada|nan_US|Quebec_Canada|nan_Mexico|New Brunswick_Canada|Prince Edward Island_Canada|Newfoundland and Labrador_Canada|Nova Scotia_Canada|Greenland_Denmark|Saint Pierre and Miquelon_France|nan_Bahamas|nan_Cuba|Bermuda_United Kingdom|nan_Guatemala|Cayman Islands_United Kingdom|nan_Honduras|nan_El Salvador|nan_Iceland|Turks and Caicos Islands_United Kingdom|nan_Jamaica|nan_Nicaragua|nan_Haiti|nan_Dominican Republic
British Columbia_Canada,Alberta_Canada|Saskatchewan_Canada|Utah_US|Grand Princess_Canada|Northwest Territories_Canada,Alberta_Canada|Saskatchewan_Canada|Utah_US|Grand Princess_Canada|Northwest Territories_Canada|Manitoba_Canada|Yukon_Canada|nan_US|Ontario_Canada|nan_Mexico,Alberta_Canada|Saskatchewan_Canada|Utah_US|Grand Princess_Canada|Northwest Territories_Canada|Manitoba_Canada|Yukon_Canada|nan_US|Ontario_Canada|nan_Mexico|Quebec_Canada|New Brunswick_Canada|Prince Edward Island_Canada|Nova Scotia_Canada|Newfoundland and Labrador_Canada|Greenland_Denmark|nan_Guatemala|nan_Bahamas|Saint Pierre and Miquelon_France|nan_Cuba|Cayman Islands_United Kingdom|nan_El Salvador|nan_Honduras|Bermuda_United Kingdom|nan_Nicaragua|nan_Jamaica|Turks and Caicos Islands_United Kingdom|nan_Haiti|nan_Costa Rica|nan_Iceland
Grand Princess_Canada,Utah_US|British Columbia_Canada|Alberta_Canada|Saskatchewan_Canada|nan_US,Utah_US|British Columbia_Canada|Alberta_Canada|Saskatchewan_Canada|nan_US|nan_Mexico|Manitoba_Canada|Northwest Territories_Canada|Yukon_Canada|Ontario_Canada,Utah_US|British Columbia_Canada|Alberta_Canada|Saskatchewan_Canada|nan_US|nan_Mexico|Manitoba_Canada|Northwest Territories_Canada|Yukon_Canada|Ontario_Canada|nan_Guatemala|Quebec_Canada|nan_El Salvador|nan_Honduras|nan_Cuba|nan_Bahamas|Cayman Islands_United Kingdom|nan_Nicaragua|New Brunswick_Canada|Prince Edward Island_Canada|Nova Scotia_Canada|nan_Jamaica|nan_Costa Rica|Turks and Caicos Islands_United Kingdom|Newfoundland and Labrador_Canada|Bermuda_United Kingdom|nan_Haiti|nan_Panama|Saint Pierre and Miquelon_France|nan_Dominican Republic
Manitoba_Canada,Saskatchewan_Canada|Ontario_Canada|Alberta_Canada|Quebec_Canada|Utah_US,Saskatchewan_Canada|Ontario_Canada|Alberta_Canada|Quebec_Canada|Utah_US|British Columbia_Canada|nan_US|Northwest Territories_Canada|Yukon_Canada|New Brunswick_Canada,Saskatchewan_Canada|Ontario_Canada|Alberta_Canada|Quebec_Canada|Utah_US|British Columbia_Canada|nan_US|Northwest Territories_Canada|Yukon_Canada|New Brunswick_Canada|Grand Princess_Canada|Prince Edward Island_Canada|Newfoundland and Labrador_Canada|Nova Scotia_Canada|Saint Pierre and Miquelon_France|Greenland_Denmark|nan_Mexico|Bermuda_United Kingdom|nan_Bahamas|nan_Cuba|Cayman Islands_United Kingdom|Turks and Caicos Islands_United Kingdom|nan_Guatemala|nan_Jamaica|nan_Iceland|nan_Honduras|nan_Haiti|nan_El Salvador|nan_Dominican Republic|nan_Nicaragua
New Brunswick_Canada,Prince Edward Island_Canada|Nova Scotia_Canada|Saint Pierre and Miquelon_France|Quebec_Canada|Newfoundland and Labrador_Canada,Prince Edward Island_Canada|Nova Scotia_Canada|Saint Pierre and Miquelon_France|Quebec_Canada|Newfoundland and Labrador_Canada|Ontario_Canada|Bermuda_United Kingdom|Manitoba_Canada|nan_Bahamas|nan_US,Prince Edward Island_Canada|Nova Scotia_Canada|Saint Pierre and Miquelon_France|Quebec_Canada|Newfoundland and Labrador_Canada|Ontario_Canada|Bermuda_United Kingdom|Manitoba_Canada|nan_Bahamas|nan_US|Turks and Caicos Islands_United Kingdom|Saskatchewan_Canada|nan_Cuba|Greenland_Denmark|nan_Dominican Republic|nan_Haiti|British Virgin Islands_United Kingdom|Virgin Islands_US|Puerto Rico_US|Anguilla_United Kingdom|St Martin_France|Sint Maarten_Netherlands|Saint Barthelemy_France|nan_Saint Kitts and Nevis|nan_Antigua and Barbuda|nan_Jamaica|Cayman Islands_United Kingdom|Montserrat_United Kingdom|Guadeloupe_France|nan_Dominica
Newfoundland and Labrador_Canada,Saint Pierre and Miquelon_France|Prince Edward Island_Canada|New Brunswick_Canada|Nova Scotia_Canada|Quebec_Canada,Saint Pierre and Miquelon_France|Prince Edward Island_Canada|New Brunswick_Canada|Nova Scotia_Canada|Quebec_Canada|Ontario_Canada|Greenland_Denmark|Bermuda_United Kingdom|nan_Iceland|Manitoba_Canada,Saint Pierre and Miquelon_France|Prince Edward Island_Canada|New Brunswick_Canada|Nova Scotia_Canada|Quebec_Canada|Ontario_Canada|Greenland_Denmark|Bermuda_United Kingdom|nan_Iceland|Manitoba_Canada|Faroe Islands_Denmark|Saskatchewan_Canada|nan_Ireland|nan_US|Isle of Man_United Kingdom|nan_United Kingdom|nan_Bahamas|Turks and Caicos Islands_United Kingdom|Channel Islands_United Kingdom|Alberta_Canada|Northwest Territories_Canada|British Virgin Islands_United Kingdom|Anguilla_United Kingdom|Virgin Islands_US|St Martin_France|Sint Maarten_Netherlands|Saint Barthelemy_France|nan_Norway|nan_Cuba|Puerto Rico_US
Nova Scotia_Canada,Prince Edward Island_Canada|New Brunswick_Canada|Saint Pierre and Miquelon_France|Newfoundland and Labrador_Canada|Quebec_Canada,Prince Edward Island_Canada|New Brunswick_Canada|Saint Pierre and Miquelon_France|Newfoundland and Labrador_Canada|Quebec_Canada|Bermuda_United Kingdom|Ontario_Canada|nan_Bahamas|Turks and Caicos Islands_United Kingdom|Manitoba_Canada,Prince Edward Island_Canada|New Brunswick_Canada|Saint Pierre and Miquelon_France|Newfoundland and Labrador_Canada|Quebec_Canada|Bermuda_United Kingdom|Ontario_Canada|nan_Bahamas|Turks and Caicos Islands_United Kingdom|Manitoba_Canada|nan_US|British Virgin Islands_United Kingdom|nan_Cuba|Virgin Islands_US|Anguilla_United Kingdom|nan_Dominican Republic|Puerto Rico_US|St Martin_France|Sint Maarten_Netherlands|nan_Haiti|Saint Barthelemy_France|nan_Saint Kitts and Nevis|nan_Antigua and Barbuda|Montserrat_United Kingdom|Guadeloupe_France|nan_Jamaica|Greenland_Denmark|Saskatchewan_Canada|Cayman Islands_United Kingdom|nan_Dominica
Ontario_Canada,Quebec_Canada|Manitoba_Canada|Saskatchewan_Canada|New Brunswick_Canada|Prince Edward Island_Canada,Quebec_Canada|Manitoba_Canada|Saskatchewan_Canada|New Brunswick_Canada|Prince Edward Island_Canada|Nova Scotia_Canada|nan_US|Newfoundland and Labrador_Canada|Alberta_Canada|Saint Pierre and Miquelon_France,Quebec_Canada|Manitoba_Canada|Saskatchewan_Canada|New Brunswick_Canada|Prince Edward Island_Canada|Nova Scotia_Canada|nan_US|Newfoundland and Labrador_Canada|Alberta_Canada|Saint Pierre and Miquelon_France|Utah_US|British Columbia_Canada|Bermuda_United Kingdom|Northwest Territories_Canada|nan_Bahamas|Greenland_Denmark|Yukon_Canada|nan_Cuba|Grand Princess_Canada|nan_Mexico|Turks and Caicos Islands_United Kingdom|Cayman Islands_United Kingdom|nan_Jamaica|nan_Haiti|nan_Dominican Republic|nan_Guatemala|nan_Iceland|nan_Honduras|Puerto Rico_US|Virgin Islands_US
Prince Edward Island_Canada,Nova Scotia_Canada|New Brunswick_Canada|Saint Pierre and Miquelon_France|Newfoundland and Labrador_Canada|Quebec_Canada,Nova Scotia_Canada|New Brunswick_Canada|Saint Pierre and Miquelon_France|Newfoundland and Labrador_Canada|Quebec_Canada|Bermuda_United Kingdom|Ontario_Canada|Manitoba_Canada|nan_Bahamas|Turks and Caicos Islands_United Kingdom,Nova Scotia_Canada|New Brunswick_Canada|Saint Pierre and Miquelon_France|Newfoundland and Labrador_Canada|Quebec_Canada|Bermuda_United Kingdom|Ontario_Canada|Manitoba_Canada|nan_Bahamas|Turks and Caicos Islands_United Kingdom|nan_US|Greenland_Denmark|nan_Cuba|British Virgin Islands_United Kingdom|Virgin Islands_US|Saskatchewan_Canada|Anguilla_United Kingdom|nan_Dominican Republic|Puerto Rico_US|St Martin_France|Sint Maarten_Netherlands|nan_Haiti|Saint Barthelemy_France|nan_Saint Kitts and Nevis|nan_Antigua and Barbuda|Montserrat_United Kingdom|nan_Iceland|Guadeloupe_France|nan_Jamaica|Cayman Islands_United Kingdom
Quebec_Canada,Ontario_Canada|New Brunswick_Canada|Prince Edward Island_Canada|Newfoundland and Labrador_Canada|Nova Scotia_Canada,Ontario_Canada|New Brunswick_Canada|Prince Edward Island_Canada|Newfoundland and Labrador_Canada|Nova Scotia_Canada|Saint Pierre and Miquelon_France|Manitoba_Canada|Saskatchewan_Canada|Bermuda_United Kingdom|nan_US,Ontario_Canada|New Brunswick_Canada|Prince Edward Island_Canada|Newfoundland and Labrador_Canada|Nova Scotia_Canada|Saint Pierre and Miquelon_France|Manitoba_Canada|Saskatchewan_Canada|Bermuda_United Kingdom|nan_US|Greenland_Denmark|Alberta_Canada|nan_Bahamas|Northwest Territories_Canada|Utah_US|nan_Iceland|British Columbia_Canada|Turks and Caicos Islands_United Kingdom|nan_Cuba|Yukon_Canada|nan_Haiti|Cayman Islands_United Kingdom|nan_Dominican Republic|nan_Jamaica|Puerto Rico_US|British Virgin Islands_United Kingdom|Virgin Islands_US|Faroe Islands_Denmark|Anguilla_United Kingdom|St Martin_France
Saskatchewan_Canada,Manitoba_Canada|Alberta_Canada|British Columbia_Canada|Utah_US|Ontario_Canada,Manitoba_Canada|Alberta_Canada|British Columbia_Canada|Utah_US|Ontario_Canada|Northwest Territories_Canada|nan_US|Yukon_Canada|Grand Princess_Canada|Quebec_Canada,Manitoba_Canada|Alberta_Canada|British Columbia_Canada|Utah_US|Ontario_Canada|Northwest Territories_Canada|nan_US|Yukon_Canada|Grand Princess_Canada|Quebec_Canada|New Brunswick_Canada|Prince Edward Island_Canada|Newfoundland and Labrador_Canada|Nova Scotia_Canada|nan_Mexico|Saint Pierre and Miquelon_France|Greenland_Denmark|nan_Bahamas|Bermuda_United Kingdom|nan_Cuba|Cayman Islands_United Kingdom|nan_Guatemala|nan_Honduras|Turks and Caicos Islands_United Kingdom|nan_El Salvador|nan_Jamaica|nan_Iceland|nan_Haiti|nan_Nicaragua|nan_Dominican Republic
nan_Central African Republic,nan_Chad|nan_Cameroon|nan_South Sudan|nan_Congo (Brazzaville)|nan_Congo (Kinshasa),nan_Chad|nan_Cameroon|nan_South Sudan|nan_Congo (Brazzaville)|nan_Congo (Kinshasa)|nan_Sudan|nan_Gabon|nan_Equatorial Guinea|nan_Rwanda|nan_Uganda,nan_Chad|nan_Cameroon|nan_South Sudan|nan_Congo (Brazzaville)|nan_Congo (Kinshasa)|nan_Sudan|nan_Gabon|nan_Equatorial Guinea|nan_Rwanda|nan_Uganda|nan_Nigeria|nan_Burundi|nan_Sao Tome and Principe|nan_Niger|nan_Mauritania|nan_Angola|nan_Kenya|nan_Benin|nan_Tanzania|nan_Ethiopia|nan_Libya|nan_Togo|nan_Eritrea|nan_Egypt|nan_Ghana|District of Columbia_US|Idaho_US|Hawaii_US|Georgia_US|Florida_US
nan_Chad,nan_Central African Republic|nan_Mauritania|nan_Niger|nan_Libya|nan_Sudan,nan_Central African Republic|nan_Mauritania|nan_Niger|nan_Libya|nan_Sudan|nan_Nigeria|nan_Cameroon|nan_Egypt|nan_South Sudan|nan_Equatorial Guinea,nan_Central African Republic|nan_Mauritania|nan_Niger|nan_Libya|nan_Sudan|nan_Nigeria|nan_Cameroon|nan_Egypt|nan_South Sudan|nan_Equatorial Guinea|nan_Benin|nan_Gabon|nan_Togo|nan_Sao Tome and Principe|nan_Uganda|nan_Congo (Kinshasa)|nan_Congo (Brazzaville)|nan_Burkina Faso|nan_Algeria|nan_Eritrea|nan_Tunisia|nan_Rwanda|nan_Ghana|nan_Malta|nan_Israel|nan_Burundi|nan_Mali|nan_Ethiopia|nan_West Bank and Gaza|nan_Jordan
nan_Chile,nan_Argentina|nan_Uruguay|nan_Paraguay|Falkland Islands (Malvinas)_United Kingdom|nan_Bolivia,nan_Argentina|nan_Uruguay|nan_Paraguay|Falkland Islands (Malvinas)_United Kingdom|nan_Bolivia|nan_Peru|nan_Brazil|nan_Ecuador|nan_Colombia|nan_Suriname,"nan_Argentina|nan_Uruguay|nan_Paraguay|Falkland Islands (Malvinas)_United Kingdom|nan_Bolivia|nan_Peru|nan_Brazil|nan_Ecuador|nan_Colombia|nan_Suriname|nan_Venezuela|nan_Guyana|French Guiana_France|nan_Panama|nan_Costa Rica|nan_Trinidad and Tobago|Curacao_Netherlands|Bonaire, Sint Eustatius and Saba_Netherlands|Aruba_Netherlands|nan_Grenada|nan_Saint Vincent and the Grenadines|nan_Belize|nan_Barbados|nan_Nicaragua|nan_Saint Lucia|Martinique_France|nan_Dominica|nan_El Salvador|nan_Honduras|Guadeloupe_France"
Anhui_China,Jiangsu_China|Zhejiang_China|Shanghai_China|Henan_China|Hubei_China,Jiangsu_China|Zhejiang_China|Shanghai_China|Henan_China|Hubei_China|Jiangxi_China|Shandong_China|Fujian_China|Hunan_China|Shanxi_China,"Jiangsu_China|Zhejiang_China|Shanghai_China|Henan_China|Hubei_China|Jiangxi_China|Shandong_China|Fujian_China|Hunan_China|Shanxi_China|Tianjin_China|Shaanxi_China|Hebei_China|Chongqing_China|Beijing_China|nan_Taiwan*|Guangdong_China|Hong Kong_China|nan_Korea, South|Macau_China|Guizhou_China|Liaoning_China|Ningxia_China|Guangxi_China|Sichuan_China|Inner Mongolia_China|Jilin_China|Hainan_China|Gansu_China|Yunnan_China"
Beijing_China,Hebei_China|Tianjin_China|Shandong_China|Shanxi_China|Inner Mongolia_China,Hebei_China|Tianjin_China|Shandong_China|Shanxi_China|Inner Mongolia_China|Liaoning_China|Henan_China|Jiangsu_China|Shaanxi_China|Jilin_China,"Hebei_China|Tianjin_China|Shandong_China|Shanxi_China|Inner Mongolia_China|Liaoning_China|Henan_China|Jiangsu_China|Shaanxi_China|Jilin_China|Anhui_China|Ningxia_China|Hubei_China|Shanghai_China|nan_Korea, South|Heilongjiang_China|nan_Mongolia|Zhejiang_China|Gansu_China|Chongqing_China|Jiangxi_China|Hunan_China|Fujian_China|Sichuan_China|Guizhou_China|Qinghai_China|nan_Taiwan*|Guangdong_China|nan_Japan|Guangxi_China"
Chongqing_China,Guizhou_China|Hubei_China|Hunan_China|Sichuan_China|Shaanxi_China,Guizhou_China|Hubei_China|Hunan_China|Sichuan_China|Shaanxi_China|Henan_China|Guangxi_China|Jiangxi_China|Ningxia_China|Yunnan_China,Guizhou_China|Hubei_China|Hunan_China|Sichuan_China|Shaanxi_China|Henan_China|Guangxi_China|Jiangxi_China|Ningxia_China|Yunnan_China|Anhui_China|Guangdong_China|Shanxi_China|Macau_China|Gansu_China|Hong Kong_China|Fujian_China|Jiangsu_China|Shandong_China|Zhejiang_China|Hainan_China|nan_Laos|Qinghai_China|Hebei_China|Shanghai_China|Tianjin_China|Beijing_China|nan_Taiwan*|nan_Burma|nan_Vietnam
Fujian_China,Jiangxi_China|Zhejiang_China|nan_Taiwan*|Guangdong_China|Hong Kong_China,Jiangxi_China|Zhejiang_China|nan_Taiwan*|Guangdong_China|Hong Kong_China|Macau_China|Anhui_China|Hunan_China|Shanghai_China|Jiangsu_China,"Jiangxi_China|Zhejiang_China|nan_Taiwan*|Guangdong_China|Hong Kong_China|Macau_China|Anhui_China|Hunan_China|Shanghai_China|Jiangsu_China|Hubei_China|Guangxi_China|Henan_China|Chongqing_China|Guizhou_China|Shandong_China|Hainan_China|Shaanxi_China|Shanxi_China|nan_Korea, South|Tianjin_China|Hebei_China|nan_Philippines|nan_Vietnam|Beijing_China|Sichuan_China|Yunnan_China|Ningxia_China|nan_Laos|Liaoning_China"
Gansu_China,Ningxia_China|Qinghai_China|Shaanxi_China|Sichuan_China|Shanxi_China,Ningxia_China|Qinghai_China|Shaanxi_China|Sichuan_China|Shanxi_China|nan_Mongolia|Chongqing_China|Henan_China|Hubei_China|Inner Mongolia_China,Ningxia_China|Qinghai_China|Shaanxi_China|Sichuan_China|Shanxi_China|nan_Mongolia|Chongqing_China|Henan_China|Hubei_China|Inner Mongolia_China|Hebei_China|Guizhou_China|Beijing_China|Tibet_China|Xinjiang_China|Yunnan_China|Tianjin_China|Hunan_China|nan_Bhutan|Shandong_China|Anhui_China|Guangxi_China|Jiangsu_China|Jiangxi_China|nan_Burma|nan_Bangladesh|Liaoning_China|nan_Nepal|Guangdong_China|nan_Laos
Guangdong_China,Macau_China|Hong Kong_China|Guangxi_China|Hunan_China|Jiangxi_China,Macau_China|Hong Kong_China|Guangxi_China|Hunan_China|Jiangxi_China|Fujian_China|Hainan_China|Guizhou_China|nan_Taiwan*|Hubei_China,Macau_China|Hong Kong_China|Guangxi_China|Hunan_China|Jiangxi_China|Fujian_China|Hainan_China|Guizhou_China|nan_Taiwan*|Hubei_China|Chongqing_China|Zhejiang_China|nan_Vietnam|Anhui_China|Henan_China|Shanghai_China|nan_Laos|Jiangsu_China|Yunnan_China|Sichuan_China|Shaanxi_China|nan_Philippines|Shandong_China|Shanxi_China|nan_Cambodia|nan_Thailand|Ningxia_China|nan_Burma|Tianjin_China|Hebei_China
Guangxi_China,Guizhou_China|Guangdong_China|Hunan_China|Macau_China|Hainan_China,Guizhou_China|Guangdong_China|Hunan_China|Macau_China|Hainan_China|Hong Kong_China|Chongqing_China|Yunnan_China|nan_Laos|Jiangxi_China,Guizhou_China|Guangdong_China|Hunan_China|Macau_China|Hainan_China|Hong Kong_China|Chongqing_China|Yunnan_China|nan_Laos|Jiangxi_China|Hubei_China|nan_Vietnam|Fujian_China|Sichuan_China|Henan_China|Anhui_China|nan_Taiwan*|Shaanxi_China|Zhejiang_China|nan_Thailand|nan_Burma|nan_Cambodia|Jiangsu_China|Shanghai_China|Ningxia_China|Shanxi_China|Shandong_China|Gansu_China|Qinghai_China|nan_Philippines
Guizhou_China,Chongqing_China|Guangxi_China|Hunan_China|Yunnan_China|Sichuan_China,Chongqing_China|Guangxi_China|Hunan_China|Yunnan_China|Sichuan_China|Hubei_China|Guangdong_China|Macau_China|Jiangxi_China|nan_Laos,Chongqing_China|Guangxi_China|Hunan_China|Yunnan_China|Sichuan_China|Hubei_China|Guangdong_China|Macau_China|Jiangxi_China|nan_Laos|Hainan_China|Hong Kong_China|Shaanxi_China|Henan_China|Fujian_China|Anhui_China|Ningxia_China|nan_Vietnam|nan_Burma|Shanxi_China|Zhejiang_China|Gansu_China|Jiangsu_China|Qinghai_China|nan_Thailand|nan_Taiwan*|Shanghai_China|Shandong_China|nan_Bhutan|Hebei_China
Hainan_China,nan_Vietnam|Macau_China|Guangxi_China|Hong Kong_China|Guangdong_China,nan_Vietnam|Macau_China|Guangxi_China|Hong Kong_China|Guangdong_China|nan_Laos|Guizhou_China|Hunan_China|nan_Cambodia|nan_Thailand,nan_Vietnam|Macau_China|Guangxi_China|Hong Kong_China|Guangdong_China|nan_Laos|Guizhou_China|Hunan_China|nan_Cambodia|nan_Thailand|Yunnan_China|Jiangxi_China|Fujian_China|Chongqing_China|nan_Taiwan*|Hubei_China|Sichuan_China|nan_Burma|nan_Philippines|Zhejiang_China|Anhui_China|Henan_China|nan_Brunei|Shaanxi_China|Shanghai_China|Jiangsu_China|nan_Malaysia|Ningxia_China|Shanxi_China|nan_Bangladesh
Hebei_China,Beijing_China|Tianjin_China|Shandong_China|Shanxi_China|Inner Mongolia_China,Beijing_China|Tianjin_China|Shandong_China|Shanxi_China|Inner Mongolia_China|Liaoning_China|Henan_China|Jiangsu_China|Shaanxi_China|Anhui_China,"Beijing_China|Tianjin_China|Shandong_China|Shanxi_China|Inner Mongolia_China|Liaoning_China|Henan_China|Jiangsu_China|Shaanxi_China|Anhui_China|Ningxia_China|Jilin_China|Hubei_China|Shanghai_China|nan_Korea, South|Zhejiang_China|nan_Mongolia|Chongqing_China|Heilongjiang_China|Gansu_China|Jiangxi_China|Hunan_China|Fujian_China|Sichuan_China|Guizhou_China|Guangdong_China|nan_Taiwan*|Qinghai_China|Guangxi_China|Hong Kong_China"
Heilongjiang_China,Jilin_China|Liaoning_China|Inner Mongolia_China|Beijing_China|Tianjin_China,"Jilin_China|Liaoning_China|Inner Mongolia_China|Beijing_China|Tianjin_China|Hebei_China|nan_Korea, South|Shandong_China|nan_Japan|Shanxi_China","Jilin_China|Liaoning_China|Inner Mongolia_China|Beijing_China|Tianjin_China|Hebei_China|nan_Korea, South|Shandong_China|nan_Japan|Shanxi_China|Jiangsu_China|nan_Mongolia|Shanghai_China|Henan_China|Anhui_China|Shaanxi_China|Ningxia_China|Zhejiang_China|Hubei_China|Gansu_China|Jiangxi_China|Fujian_China|Chongqing_China|Hunan_China|nan_Taiwan*|nan_Russia|Sichuan_China|Qinghai_China|Guizhou_China|Guangdong_China"
Henan_China,Hubei_China|Anhui_China|Shanxi_China|Shaanxi_China|Shandong_China,Hubei_China|Anhui_China|Shanxi_China|Shaanxi_China|Shandong_China|Jiangsu_China|Hebei_China|Tianjin_China|Chongqing_China|Hunan_China,"Hubei_China|Anhui_China|Shanxi_China|Shaanxi_China|Shandong_China|Jiangsu_China|Hebei_China|Tianjin_China|Chongqing_China|Hunan_China|Jiangxi_China|Beijing_China|Ningxia_China|Shanghai_China|Zhejiang_China|Fujian_China|Guizhou_China|Sichuan_China|Inner Mongolia_China|Liaoning_China|Guangdong_China|Guangxi_China|Gansu_China|Hong Kong_China|Macau_China|nan_Korea, South|nan_Taiwan*|Yunnan_China|Jilin_China|Qinghai_China"
Hong Kong_China,Macau_China|Guangdong_China|Fujian_China|Hainan_China|Guangxi_China,Macau_China|Guangdong_China|Fujian_China|Hainan_China|Guangxi_China|Jiangxi_China|Hunan_China|nan_Taiwan*|Guizhou_China|nan_Vietnam,Macau_China|Guangdong_China|Fujian_China|Hainan_China|Guangxi_China|Jiangxi_China|Hunan_China|nan_Taiwan*|Guizhou_China|nan_Vietnam|Zhejiang_China|Hubei_China|Chongqing_China|Anhui_China|Shanghai_China|nan_Laos|Henan_China|Jiangsu_China|nan_Philippines|Yunnan_China|Sichuan_China|Shaanxi_China|nan_Cambodia|Shandong_China|nan_Thailand|Shanxi_China|Ningxia_China|nan_Burma|Tianjin_China|Hebei_China
